Energie/eV,PDS-Betrag,Phase/°,Trans_korr,Ref/V,X-Wert/V,Y-Wert/V,Trans/V,Reflexion/V,Refl_korr
0.9783,6.73E-05,5.42E+00,9.55E-01,2.18E-03,1.66E-05,1.57E-06,6.85E-02,2.28E-03,8.18E-02
0.9583,5.07E-05,7.84E+00,9.52E-01,2.05E-03,1.17E-05,1.62E-06,6.51E-02,2.13E-03,6.21E-02
0.9573,4.80E-05,-2.24E+00,9.55E-01,2.03E-03,1.11E-05,-3.60E-07,6.49E-02,2.13E-03,7.61E-02
0.9567,5.90E-05,4.44E+00,9.55E-01,2.03E-03,1.35E-05,9.51E-07,6.47E-02,2.11E-03,6.71E-02
0.9547,3.14E-05,-1.84E+01,9.64E-01,1.81E-03,6.70E-06,-2.00E-06,6.11E-02,2.11E-03,1.05E-01
0.9537,4.33E-05,-2.27E+00,9.64E-01,1.83E-03,1.00E-05,-5.58E-07,6.16E-02,2.13E-03,1.12E-01
0.9527,4.93E-05,1.33E+01,9.54E-01,1.86E-03,1.11E-05,2.78E-06,6.19E-02,2.13E-03,9.03E-02
0.9517,4.97E-05,-5.95E-01,9.65E-01,1.86E-03,1.16E-05,-1.12E-07,6.22E-02,2.15E-03,1.03E-01
0.9507,3.81E-05,-2.80E+00,9.66E-01,1.88E-03,8.94E-06,-4.35E-07,6.26E-02,2.18E-03,1.12E-01
0.9497,4.19E-05,7.92E+00,9.59E-01,1.90E-03,9.79E-06,1.29E-06,6.30E-02,2.19E-03,1.03E-01
0.9487,3.83E-05,-2.33E+00,9.56E-01,1.92E-03,9.23E-06,-3.74E-07,6.34E-02,2.20E-03,8.78E-02
0.9477,3.96E-05,-3.44E-01,9.58E-01,1.94E-03,9.57E-06,1.63E-07,6.38E-02,2.22E-03,9.78E-02
0.9467,4.23E-05,-2.50E+00,9.67E-01,1.95E-03,1.02E-05,-4.39E-07,6.41E-02,2.24E-03,1.06E-01
0.9457,3.80E-05,-6.51E-01,9.61E-01,1.98E-03,9.33E-06,-1.29E-07,6.46E-02,2.26E-03,9.65E-02
0.9329,3.55E-05,2.44E+00,9.59E-01,2.20E-03,9.33E-06,4.00E-07,6.96E-02,2.43E-03,8.89E-02
0.9309,3.49E-05,2.46E+00,9.62E-01,2.37E-03,9.92E-06,4.38E-07,7.49E-02,2.60E-03,8.13E-02
0.9109,2.94E-05,8.27E-01,9.70E-01,2.52E-03,8.66E-06,1.29E-07,7.82E-02,2.72E-03,9.78E-02
0.8909,2.41E-05,-2.62E+00,9.62E-01,2.60E-03,7.37E-06,-3.46E-07,8.13E-02,2.82E-03,6.87E-02
0.8709,2.10E-05,-2.36E+00,9.69E-01,2.73E-03,6.92E-06,-2.84E-07,8.91E-02,3.07E-03,8.06E-02
0.8509,2.11E-05,1.39E+00,9.57E-01,2.86E-03,7.45E-06,2.98E-07,9.61E-02,3.16E-03,7.49E-02
0.8309,2.30E-05,-7.32E+00,9.53E-01,2.94E-03,8.30E-06,-1.05E-06,1.01E-01,3.16E-03,7.60E-02
0.8109,1.57E-05,-1.77E+01,9.61E-01,2.99E-03,5.21E-06,-2.14E-07,1.03E-01,3.16E-03,7.55E-02
0.7909,2.84E-05,1.19E+01,9.66E-01,2.99E-03,1.03E-05,2.14E-06,1.02E-01,3.24E-03,8.59E-02
